Insulation,Temperature,Avg_Age,Home_Size,Predicted_Heating_Oil
5,69,70.1,7,252.0
5,80,66.7,1,218.0
4,89,67.8,7,227.0
7,81,52.4,6,210.0
4,58,22.9,7,163.0
4,58,37.4,3,180.0
6,51,51.6,3,221.0
2,73,37.4,4,164.0
9,39,56.9,7,263.0
8,84,64.5,2,223.0
10,74,58.3,1,223.0
5,49,68.6,6,262.0
8,45,33.9,8,212.0
3,49,49.7,4,211.0
9,66,66.2,5,254.0
9,57,70.1,7,275.0
9,66,32.9,6,190.0
4,47,55.2,6,233.0
5,53,19.8,7,164.0
5,77,66.9,5,233.0
3,66,64.1,3,223.0
6,87,36.1,6,169.0
10,47,71.3,4,280.0
10,76,59.5,7,242.0
3,60,68.2,4,239.0
4,86,29.9,1,136.0
8,69,62.2,1,228.0
3,67,24.8,3,144.0
3,78,67.3,7,232.0
4,43,46.0,8,224.0
7,39,29.4,7,202.0
4,66,40.7,8,195.0
5,61,32.2,3,170.0
3,58,62.1,4,229.0
7,67,39.5,4,190.0
9,87,54.5,1,201.0
10,47,31.2,1,191.0
10,84,36.5,3,177.0
2,61,34.1,7,176.0
5,73,57.8,2,209.0
7,71,61.0,5,232.0
2,69,32.4,7,166.0
5,85,41.7,1,164.0
3,72,18.9,6,137.0
8,87,56.8,4,211.0
6,69,33.2,1,163.0
3,73,48.2,3,186.0
6,72,35.5,4,174.0
3,70,37.9,4,171.0
9,53,40.3,5,213.0
8,74,35.6,4,180.0
5,76,68.8,4,234.0
8,88,26.8,6,157.0
3,65,17.2,8,146.0
10,88,69.8,6,249.0
2,58,42.5,7,195.0
8,59,60.0,4,241.0
4,77,18.8,5,133.0
9,83,58.3,6,227.0
4,50,29.8,4,174.0
10,49,48.9,6,239.0
9,54,19.0,7,175.0
4,89,42.9,2,162.0
8,48,66.6,5,266.0
3,39,62.8,4,246.0
8,41,64.7,8,277.0
2,60,19.8,1,130.0
6,63,65.3,3,238.0
8,56,69.4,5,265.0
4,57,53.6,1,207.0
6,70,40.7,3,183.0
2,52,20.9,6,154.0
3,38,55.4,5,235.0
5,64,17.8,1,133.0
10,87,52.1,2,203.0
3,55,34.8,2,171.0
5,38,62.9,5,256.0
7,86,44.9,5,188.0
5,47,52.3,8,237.0
3,70,72.2,4,239.0
4,47,22.0,8,173.0
8,49,46.1,3,218.0
9,88,37.8,7,185.0
2,68,65.3,8,236.0
6,38,27.9,2,181.0
2,81,17.1,3,114.0
7,50,51.2,4,227.0
8,85,49.5,7,207.0
8,76,30.1,7,176.0
3,72,47.9,5,192.0
6,65,53.6,6,222.0
7,61,54.6,2,219.0
8,48,53.5,6,243.0
2,53,27.4,8,172.0
4,87,26.7,3,135.0
3,82,52.0,4,189.0
6,67,25.7,6,165.0
9,71,47.5,5,212.0
8,74,30.2,3,166.0
10,42,33.2,7,217.0
8,63,68.9,3,252.0
8,50,51.5,1,222.0
6,78,66.9,6,238.0
7,58,58.2,3,231.0
5,53,51.6,3,216.0
6,78,23.3,8,157.0
9,88,63.8,3,225.0
4,45,72.6,8,276.0
2,63,29.0,7,164.0
10,61,53.8,5,236.0
10,79,54.5,5,223.0
5,43,59.0,7,251.0
5,70,39.8,3,178.0
4,88,35.9,2,149.0
6,85,25.9,5,148.0
9,74,61.4,3,231.0
7,78,72.8,3,244.0
5,58,57.6,1,217.0
7,52,57.0,7,246.0
3,55,40.4,1,179.0
9,67,39.9,6,203.0
2,45,17.5,1,138.0
4,61,32.2,2,164.0
5,73,58.3,3,213.0
5,70,70.2,6,248.0
3,59,68.3,3,237.0
2,80,38.2,6,166.0
10,42,30.3,6,208.0
9,61,20.8,4,164.0
6,76,60.7,2,215.0
8,82,72.6,3,244.0
7,51,72.4,1,259.0
5,89,65.1,7,225.0
9,70,67.4,1,241.0
3,55,20.8,7,158.0
3,48,70.1,6,259.0
2,39,53.1,7,232.0
8,85,63.5,3,223.0
5,54,55.1,3,222.0
10,69,61.1,5,244.0
2,52,44.2,4,195.0
5,54,70.5,2,249.0
9,70,27.8,7,180.0
3,42,66.0,1,240.0
8,71,22.6,2,150.0
5,53,44.4,2,198.0
4,59,29.9,2,161.0
8,61,63.4,4,246.0
6,82,71.7,3,235.0
2,51,70.6,2,242.0
9,56,27.4,4,181.0
5,69,68.7,8,252.0
8,53,67.9,1,252.0
10,44,32.9,1,196.0
10,73,23.7,3,160.0
8,56,27.7,4,179.0
5,60,61.7,6,239.0
10,62,47.4,8,232.0
10,74,18.9,2,147.0
10,75,30.8,8,188.0
3,63,43.0,7,196.0
7,41,30.8,2,188.0
4,67,67.1,7,244.0
2,81,16.0,7,124.0
4,58,49.7,6,213.0
2,41,51.9,5,222.0
10,78,25.4,5,166.0
10,86,48.2,2,196.0
8,56,33.6,7,199.0
3,79,41.7,1,162.0
4,72,29.5,1,146.0
4,73,55.0,2,200.0
9,73,25.9,3,161.0
4,85,69.6,5,228.0
5,65,71.6,3,246.0
9,53,55.3,7,249.0
7,85,58.2,8,225.0
5,62,60.8,6,236.0
9,87,24.6,6,156.0
10,73,48.8,3,210.0
10,77,57.6,6,234.0
10,44,26.2,2,186.0
10,62,24.3,4,174.0
6,40,35.7,7,210.0
5,74,71.2,6,247.0
10,82,32.4,3,170.0
2,68,32.9,8,171.0
7,41,65.2,2,256.0
6,40,59.2,6,254.0
3,90,52.3,4,183.0
3,62,52.0,5,208.0
3,65,50.0,7,208.0
9,40,63.9,5,270.0
5,43,60.9,6,251.0
